formula,pred_stability,pred_bandgap,non_metal_confidence,promise_score
CuSn2As3,0.3428759100851471,0.0,0.09838662557640043,0.0
CuSnAs3,0.15327420026318875,0.0,0.01581353424611598,0.0
MnSn6As11,0.3288654548711211,0.0,0.2561354114599059,0.0
CuSnAs,0.3297653878088878,0.0,0.0759414274885577,0.0
Mn(Sn5As8)2,0.13921774038422716,0.0,0.40103091158629234,0.0
MnSn9As16,0.15681356396621945,0.0,0.25913629445068065,0.0
Mn(Sn3As5)3,0.155815045590181,0.0,0.24999584600009672,0.0
MnSn9As14,0.30868780821237246,0.0,0.42965191101603417,0.0
Mn(Sn4As7)2,0.331988271242743,0.0,0.24993239420861701,0.0
MnSn8As13,0.31350438942950526,0.0,0.42758776739296245,0.0
MnSn7As13,0.3316288598583502,0.0,0.274121538709694,0.0
MnSn7As12,0.31898000755251255,0.0,0.3319220545867332,0.0
MnSn7As11,0.31021214900740524,0.0,0.4287297317845269,0.0
CuSnAs2,0.5467522377395463,0.0,0.2146574226092436,0.0
Ni(Sn3As5)3,0.15971255390708222,0.0,0.2060919184343747,0.0
NiSn9As14,0.14023311271947717,0.0,0.3697516334987969,0.0
Ni(Sn4As7)2,0.16103111845909768,0.0,0.19377965657886387,0.0
NiSn8As13,0.14254723664586014,0.0,0.3391204035656734,0.0
NiSn7As13,0.16023940464870948,0.0,0.19298256021563698,0.0
NiSn7As12,0.14759055234287174,0.0,0.2869955855534979,0.0
NiSn7As11,0.13882269379776466,0.0,0.38606951864190975,0.0
NiSn6As11,0.16000059544053552,0.0,0.22391747257857053,0.0
Ni(Sn3As5)2,0.13973985494348595,0.0,0.414414682598062,0.0
NaSn8As13,0.13549020610152226,0.0,0.3672508285664423,0.0
NiSn5As9,0.14756684819604698,0.0,0.41794643833991874,0.0
NiSn5As8,0.13645221397121704,0.0,0.45199235859311016,0.0
Ni(SnAs2)4,0.16073413542578424,0.0,0.2451040409913584,0.0
NiSn4As7,0.1346130554339855,0.0,0.4963796622807646,0.0
Ni(Sn2As3)2,0.1239026352571683,2.042002864489627,0.7482160489580141,0.0
Ni(SnAs2)3,0.14563598639567227,0.0,0.3407061450167018,0.0
NiSn3As5,0.12558484171185097,2.068422421416219,0.6636098871047185,0.0
NiSn2As5,0.16030633934712635,0.0,0.1848625139800888,0.0
Ni(SnAs2)2,0.17667250275651175,0.0,0.3711873997716736,0.0
NiSn2As3,0.3104337449166154,1.6007729630713494,0.517485397683577,0.0
Ni(Sn2As3)3,0.1342162153893377,1.9108317425487384,0.5728661955937544,0.0
NaSn7As13,0.15356269229725955,0.0,0.22685769773222475,0.0
NaSn7As12,0.1409138399914221,0.0,0.34142611130273237,0.0
NaSn7As11,0.1309790464277653,0.0,0.43918349810770774,0.0
NaSn6As11,0.15210496383742872,0.0,0.26432802070632233,0.0
Na(Sn3As5)2,0.1328448228070246,0.0,0.3867441849373757,0.0
Na(SnAs2)5,0.1540317424749725,0.0,0.2826708288246442,0.0
NaSn5As9,0.14263544443273737,0.0,0.33523342119387667,0.0
NaSn5As8,0.13727115662033465,0.0,0.4849085264127133,0.0
Na(SnAs2)4,0.16377930009839956,0.0,0.30756073816068596,0.0
NiSn9As16,0.16071107228312068,0.0,0.21408534047108574,0.0
Na(Sn2As3)2,0.11975623507579615,2.389139110271274,0.5231426348306496,0.0
Na(SnAs2)3,0.13493516957264085,0.0,0.247559099735145,0.0
NaSn3As5,0.1156111221449814,2.262200292988078,0.5274657346898545,0.0
NaSn2As5,0.1494974686256185,0.0,0.29068301130673324,0.0
Na(SnAs2)2,0.1655249552879928,0.0,0.4011072757040983,0.0
NaSn2As3,0.3241690166079803,1.873347741322374,0.6073766828299162,0.0
NaSnAs3,0.14682179078547844,0.0,0.33700184001415523,0.0
NaSnAs2,0.5888731486152844,1.9128314076870638,0.7727689976978822,0.0
NaSnAs,0.36561661797913647,1.9974401414267018,0.673768292036663,0.0
Ni(Sn5As8)2,0.14318151419967473,0.0,0.34272312432011853,0.0
NaSn4As7,0.13907785118909163,0.0,0.43651856484777496,0.0
Sn9As16H,0.15360998198887155,0.0,0.2650844335871182,0.0
Sn9As15H,0.1333140556592986,0.0,0.2558066205094951,0.0
Sn9As14H,0.11383461447169334,0.0,0.4372042759161472,0.0
Sn8As14H,0.13394374821220045,0.0,0.24142751079422475,0.0
Sn8As13H,0.11545986639896265,0.0,0.41639354092182956,0.0
Sn7As13H,0.13439010074325825,0.0,0.2650844335871182,0.0
Sn7As12H,0.1217550128251947,0.0,0.3218242468998743,0.0
Sn7As11H,0.11032468579484256,0.0,0.41752741582010766,0.0
Sn6As11H,0.1323083513530643,0.0,0.24748909453852952,0.0
CuSn5As8,0.16174177331797163,0.0,0.021156270090592177,0.0
Sn6As9H,0.10544203825201183,2.2352384306018345,0.5342168286804228,0.0
Sn5As9H,0.11872538275403804,0.0,0.32432749177584075,0.0
Sn5As8H,0.1076101159073452,0.0,0.43903709933024126,0.0
Sn4As8H,0.13269780127736325,0.0,0.273797340787468,0.0
Sn4As7H,0.10713860421949717,0.0,0.3940894388544318,0.0
Sn4As6H,0.0962993472967685,2.4000928903141125,0.5839244623750557,0.0
Sn3As6H,0.11403728417667161,0.0,0.3035178917541237,0.0
Sn3As5H,0.09376580971549327,2.379888906895665,0.590655414441884,0.0
Sn2As5H,0.1292841320310151,0.0,0.37717455601108596,0.0
Sn2As4H,0.14440806041102688,2.3503126166498434,0.5215505865668838,0.0
Sn6As10H,0.1109656778061601,0.0,0.36598641241355545,0.0
Sn8TeAs13,0.13659162468017944,0.0,0.4396796811647815,0.0
Sn7TeAs13,0.1547160951090241,0.0,0.24950153907099926,0.0
Sn7TeAs12,0.14206724280318664,0.0,0.23807943755489247,0.0
